calendar,name,start,end,location,description,fetched_at
Python Events,Python Education Summit Kigali,2023-04-14 00:00,2023-04-16 00:00,"Kampala, Uganda","<body><a href=""http://afrodjangoinitiatives.org/event/9"">Python <br>
Education Summit Kigali</a></body>...",2025-06-02 01:40:23 UTC
Python Events,PyCon PL 2017,2017-08-17 00:00,2017-08-21 00:00,"Hotel Ossa Congress & SPA, Ossa, Poland","<a href=""https://pl.pycon.org/2017/index_en"">PyCon PL</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon IT 8,2017-04-15 00:00,2017-04-18 00:00,"Hotel Mediterraneo - Lungarno del Tempio, 44, 50121 Firenze FI, Italy","<a href=""https://www.pycon.it/en/"">PyCon Italia</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Poland 2013,2013-10-17 00:00,2013-10-21 00:00,„Orle Gniazdo” („Eagle's Nest”) Congress and Recreation Center in Szczyrk,"<a href=""http://pl.pycon.org/"">PyCon Poland 2013</a>...",2025-06-02 01:40:23 UTC
Python Events,SciPy US 2024,2024-07-08 00:00,2024-07-14 00:00,"Tacoma, USA","<a href=""https://scipy2024.scipy.org"">SciPy US 2024</a>...",2025-06-02 01:40:23 UTC
Python Events,EuroSciPy 2022,2022-08-29 00:00,2022-09-03 00:00,"Basel, Switzerland","<a href=""https://www.euroscipy.org/2022/"">EuroSciPy 2022</a>...",2025-06-02 01:40:23 UTC
Python Events,enterPy (cancelled),2020-11-23 00:00,2020-11-25 00:00,"Heidelberg, Germany","<a href=""https://www.enterpy.de/"">enterPy</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Indonesia 2020,2020-11-14 00:00,2020-11-16 00:00,Online,"<a href=""https://pycon.id/"">PyCon Indonesia 2020</a>...",2025-06-02 01:40:23 UTC
Python Events,Python Brasil 2017,2017-10-06 00:00,2017-10-12 00:00,"Belo Horizonte, State of Minas Gerais, Brazil","<a href=""http://2017.pythonbrasil.org.br/"">Python Brasil 13</a>...",2025-06-02 01:40:23 UTC
Python Events,"Science Hack Day, India 2018",2018-11-02 00:00,2018-11-05 00:00,"Belgaum, India","<a href=""http://sciencehackday.in/"">Science Hack Day, India 2018</a>...",2025-06-02 01:40:23 UTC
Python Events,Python for ML and AI Global Summit'21,2021-04-08 00:00,2021-04-10 00:00,N/A,"<pre><a href=""https://link.geekle.us/python/offsite"" id=""ow420"" __is_owner=""true""><span>Python for ML and AI Global Summit'21</span></a></pre>...",2025-06-02 01:40:23 UTC
Python Events,PyCon mini Tokai 2024,2024-11-16 00:00,2024-11-17 00:00,"Nagoya, Aichi, Japan","<a href=""https://tokai.pycon.jp/2024/"">PyCon mini Tokai 2024</a>...",2025-06-02 01:40:23 UTC
Python Events,Python Nordeste 2022,2022-08-26 00:00,2022-08-29 00:00,"Aracaju, Brazil","<a href=""https://2022.pythonnordeste.org/"">Python Nordeste 2022</a>...",2025-06-02 01:40:23 UTC
Python Events,PyDay Asunción,2015-03-28 00:00,2015-03-29 00:00,"Asunción, Paraguay","<a href=""http://pyday.pythonpy.org/"">PyDay Asunción</a>...",2025-06-02 01:40:23 UTC
Python Events,DjangoCon Europe 2020,2020-09-18 00:00,2020-09-20 00:00,Online,"<a href=""https://2020.djangocon.eu/"">DjangoCon EU 2020</a>...",2025-06-02 01:40:23 UTC
Python Events,DjangoCongress JP 2023,2023-10-07 00:00,2023-10-08 00:00,"Tokyo, Japan","<pre class=""moz-quote-pre"" wrap=""""><a href=""https://djangocongress.jp/"">DjangoCongress JP 2023</a></pre>...",2025-06-02 01:40:23 UTC
Python Events,Flask Conference,2018-08-24 00:00,2018-08-26 00:00,"São Paulo, Brazil","<a href=""http://flask.python.org.br/"">Flask Conference</a>...",2025-06-02 01:40:23 UTC
Python Events,Plone Conference 2025,2025-10-13 00:00,2025-10-20 00:00,"Jyväskylä, Finland","<a href=""https://2025.ploneconf.org/"">Plone Conference 2025</a>...",2025-06-02 01:40:23 UTC
Python Events,FOSDEM 2018,2018-02-03 00:00,2018-02-05 00:00,"Brussels, Belgium","<a href=""https://fosdem.org/2018/"">FOSDEM 2018</a> with Python track...",2025-06-02 01:40:23 UTC
Python Events,GeoPython 2016,2016-06-22 00:00,2016-06-25 00:00,"University of Applied Sciences and Arts Northwestern Switzerland, Basel, Switzerland","<a href=""http://www.geopython.net/"">GeoPython 2016</a>...",2025-06-02 01:40:23 UTC
Python Events,Djangocon Europe 2014,2014-05-13 00:00,2014-05-18 00:00,"L'Île des Embiez, Var, France","<a href=""http://2014.djangocon.eu/"">Djangocon Europe 2014</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon DE 2017,2017-10-25 00:00,2017-10-28 00:00,"Karlsruhe, ZKM | Zentrum für Kunst und Medien Lorenzstraße 19, 76135 Karlsruhe, Germany","<a href=""http://de.pycon.org/"">PyCon DE 2017</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon KR 2014,2014-08-30 00:00,2014-08-31 00:00,"Sookmyung Women's University, Seoul, Korea","<a href=""http://www.pycon.kr/"">PyCon KR 2014</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon PL 2022,2022-11-03 00:00,2022-11-07 00:00,"Gliwice, Poland","<a href=""https://pl.pycon.org/2022/en/"">PyCon PL 2022</a>...",2025-06-02 01:40:23 UTC
Python Events,Python San Sebastián 2014,2014-09-26 00:00,2014-09-29 00:00,"Palacio Miramar, in San Sebastián, Spain","<a href=""http://www.pyss.org/"">Python San Sebastián 2014</a>...",2025-06-02 01:40:23 UTC
Python Events,PyData London 2025,2025-06-06 00:00,2025-06-09 00:00,"London, UK","<a href=""https://pydata.org/london2025t"">PyData London 2025</a>...",2025-06-02 01:40:23 UTC
Python Events,PyConZA 2015,2015-10-01 00:00,2015-10-05 00:00,"Wits University Professional Development Hub, Johannesburg, South Africa","<a href=""https://www.za.pycon.org/"">PyConZA 2015</a>...",2025-06-02 01:40:23 UTC
Python Events,PyData DC 2016,2016-10-07 00:00,2016-10-10 00:00,"Capital One McLean Conference Center in McLean, VA, USA",<a href=“http://http://pydata.org/dc2016/“>PyData DC 2016</a>...,2025-06-02 01:40:23 UTC
Python Events,PyDay Togo 2024,2024-11-30 00:00,2024-12-01 00:00,"Lomé, Togo","<a href=""https://lu.ma/runpiv8k"">PyDay Togo 2024</a>...",2025-06-02 01:40:23 UTC
Python Events,Python Nordeste 2024,2024-08-09 00:00,2024-08-11 00:00,"Natal, Brazil","<a href=""https://2024.pythonnordeste.org/"">Python Nordeste 2024</a>...",2025-06-02 01:40:23 UTC
Python Events,Djangothon (Sprint),2015-08-22 00:00,2015-08-24 00:00,"HackerEarth, 93, IIIrd Floor, Salarpuria Business Center, 4th B Cross Road, 5th A Block, Koramangala Industrial Layout, Near Jyoti Nivas College, Bengaluru, Karnataka 560095, India","<a href=""https://www.hackerearth.com/djangothon/"">Djangothon</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon JP 2016,2016-09-20 00:00,2016-09-25 00:00,"Nishi-Waseda Campus, Waseda University, 3-4-1 Ookubo, Shinjuku-ku, Tokyo, Japan","<a href=""https://pycon.jp/2016/"">PyCon JP 2016</a>...",2025-06-02 01:40:23 UTC
Python Events,RuPy 2012 - Brazil Edition,2012-12-08 00:00,2012-12-10 00:00,"São José dos Campos, São Paulo, Brazil","<a href=""http://rupy.com.br/"">RuPy 2012 - Brazil Edition</a>...",2025-06-02 01:40:23 UTC
Python Events,EuroSciPy 2020 (canceled),2020-07-27 00:00,2020-08-01 00:00,"Bilbao, Spain","<a href=""https://www.euroscipy.org/"">EuroSciPy 2020</a>...",2025-06-02 01:40:23 UTC
Python Events,North Bay Python 2018,2018-11-02 00:00,2018-11-05 00:00,"Petaluma, California, USA","<a href=""http://northbaypython.org/"">North Bay Python</a>...",2025-06-02 01:40:23 UTC
Python Events,WeAreDevelopers Live - Python Day,2021-02-17 00:00,2021-02-18 00:00,Online event,"<a href=""https://wearedevelopers.com/event/python-day"" id=""ow768"" __is_owner=""true"">WeAreDevelopers Live - Python Day</a>...",2025-06-02 01:40:23 UTC
Python Events,EduPy 2023,2023-10-21 00:00,2023-10-22 00:00,"Cali, Colombia","<pre><a href=""http://www.slec.net/edupy/"">EduPy 2023</a></pre>...",2025-06-02 01:40:23 UTC
Python Events,PyConTW 2021,2021-10-02 00:00,2021-10-04 00:00,Online,"<a href=""https://tw.pycon.org/2021/en-us/"">PyConTW 2021</a>...",2025-06-02 01:40:23 UTC
Python Events,PyConline AU 2021,2021-09-10 00:00,2021-09-13 00:00,"Online, Australia","<a href=""https://2021.pycon.org.au/"">PyConline AU 2021</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Kyrgyzstan 2018,2018-09-09 00:00,2018-09-10 00:00,"Bishkek, Kyrgyzstan","<a href=""https://pyconkg.com/"">PyCon Kyrgyzstan 2018</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon JP 2017,2017-09-07 00:00,2017-09-11 00:00,"Waseda University, Nishi-Waseda Campus, Building 63, Tokyo, Japan","<a href=""https://pycon.jp/2017/en/"">PyCon JP 2017</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Russia 2025,2025-07-25 00:00,2025-07-27 00:00,"Moscow, Russia","<a href=""https://www.pycon.ru/"">PyCon Russia 2025</a>...",2025-06-02 01:40:23 UTC
Python Events,Python Norte 2025,2025-07-04 00:00,2025-07-07 00:00,"Belém, Pará, Brazil","<a href=""https://2025.pythonnorte.org/en"">Python Norte 2025</a>...",2025-06-02 01:40:23 UTC
Python Events,North Bay Python,2023-07-29 00:00,2023-07-31 00:00,"Petaluma, California, USA","<body><a href=""https://2023.northbaypython.org/"">North Bay Python</a></body>...",2025-06-02 01:40:23 UTC
Python Events,JupyterCon 2025,2025-11-03 00:00,2025-11-06 00:00,"San Diego, USA","<a href=""https://events.linuxfoundation.org/jupytercon/"">JupyterCon 2025</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Israel 2025,2025-09-09 00:00,2025-09-10 00:00,"Cinema City, Israel","<a href=""https://pycon.org.il/2025/"">PyCon Israel 2025</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Jamaica 2016,2016-11-17 00:00,2016-11-19 00:00,"Kingston, Jamaica","<a href=""http://pythonjam.org.jm/conference-2016"">PyCon Jamaica 2016</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon PL 2014,2014-10-16 00:00,2014-10-20 00:00,"„Orle Gniazdo” Congress & Recreation Centre, 28a, Wrzosowa St., Szczyrk, Poland","<strong>PyCon PL</strong> is a polish Python conference - one of many PyCons happening around the world. It aims to integrate developers, designers and managers interested in using Python. Such meetin...",2025-06-02 01:40:23 UTC
Python Events,Python Devroom @ FOSDEM 2024,2024-02-04 00:00,2024-02-05 00:00,"Brussels, Belgium","<a href=""https://fosdem.org/2024/schedule/track/python-devroom/"">Python Devroom @ FOSDEM 2024</a>...",2025-06-02 01:40:23 UTC
Python Events,PyTennessee 2019,2019-02-09 00:00,2019-02-11 00:00,"Nashville, TN, United States","<a href=""https://www.pytennessee.org/"">PyTennessee</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Sweden 2021,2021-10-21 00:00,2021-10-23 00:00,online,N/A,2025-06-02 01:40:23 UTC
Python Events,PythonCamp 2014 - Python Bar Camp in Cologne,2014-03-29 00:00,2014-03-31 00:00,"GFU Cyrus AG, Am Grauen Stein 27, 51105 Cologne","<a href=""https://www.barcamptools.eu/pycamp201403"">PythonCamp 2014</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon ZA 2018,2018-10-10 00:00,2018-10-15 00:00,"Johannesburg, South Africa","<a href=""https://za.pycon.org/"">PyCon ZA 2018</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon US 2023,2023-04-19 00:00,2023-04-28 00:00,"Salt Lake City, Utah, USA","<a href=""https://us.pycon.org/2023/"">PyCon US 2023</a>...",2025-06-02 01:40:23 UTC
Python Events,SciPy Latam,2019-10-08 00:00,2019-10-11 00:00,"Bogota, Colombia","<a href=""http://conf.scipyla.org/en/"">SciPy Latam</a>...",2025-06-02 01:40:23 UTC
Python Events,PyBay 2018,2018-08-16 00:00,2018-08-20 00:00,"San Francisco, CA, USA","<a href=""http://pybay.com/""><g class=""gr_ gr_3 gr-alert gr_spell gr_inline_cards gr_disable_anim_appear ContextualSpelling ins-del multiReplace"" id=""3"" data-gr-id=""3"">PyBay</g> 2018</a>...",2025-06-02 01:40:23 UTC
Python Events,EuroSciPy 2018,2018-08-28 00:00,2018-09-02 00:00,"Trento, Italy","<a href=""https://www.euroscipy.org/2018"">EuroSciPy 2018</a>...",2025-06-02 01:40:23 UTC
Python Events,EuroSciPy 2023,2023-08-14 00:00,2023-08-19 00:00,"Basel, Switzerland","<body><a href=""https://www.euroscipy.org/2023/"">EuroSciPy 2023</a></body>...",2025-06-02 01:40:23 UTC
Python Events,FrOSCon 2018,2018-08-25 00:00,2018-08-27 00:00,"University of Applied Sciences Bonn-Rhein-Sieg, Sankt Augustin, Germany","<a href=""http://www.froscon.org/"">FrOSCon 2018</a>...",2025-06-02 01:40:23 UTC
Python Events,PyTexas 2014,2014-10-03 00:00,2014-10-06 00:00,"Texas A&M University Memorial Student Center (MSC), 1237 TAMU, College Station, TX, USA 77843-1237","<a href=""https://www.pytexas.org/2014/"">PyTexas 2014</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon PH 2024,2024-02-25 00:00,2024-02-27 00:00,"Makati City, Philippines","<a href=""https://pycon-2024.python.ph/"">PyCon PH 2024</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Russia 2024,2024-07-26 00:00,2024-07-28 00:00,"Moscow, Russia","<a href=""https://www.pycon.ru/"">PyCon Russia 2024</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon India 2017,2017-11-02 00:00,2017-11-06 00:00,"Delhi, India","<a href=""https://in.pycon.org/2017/"">PyCon India 2017</a>...",2025-06-02 01:40:23 UTC
Python Events,PyData Paris 2025,2025-09-30 00:00,2025-10-02 00:00,"Paris, France","<a href=""https://pydata.org/paris2025"">PyData Paris 2025</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon UK 2015,2015-09-18 00:00,2015-09-22 00:00," Coventry University Technology Centre, Coventry, UK","<a href=""http://www.pyconuk.org/"">PyCon UK 2015</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon ZA 2022,2022-10-13 00:00,2022-10-15 00:00,"Durban, South Africa","<a href=""https://za.pycon.org/"">PyCon ZA 2022</a>...",2025-06-02 01:40:23 UTC
Python Events,FOSDEM 2014,2014-02-01 00:00,2014-02-03 00:00,"Université libre de Bruxelles, Campus du Solbosch, Avenue Franklin D. Roosevelt 50, 1050 Bruxelles, Belgium","<a href=""https://fosdem.org/2014/"">FOSDEM 2014</a> with a <a href=""http://www.python-fosdem.org/schedule"">Python Developer Room on Sunday, Feb 2nd</a>....",2025-06-02 01:40:23 UTC
Python Events,PyWeek 23 - Python community game jam,2017-02-19 00:00,2017-02-27 00:00,Online Event,"<a href=""https://pyweek.org/23"">PyWeek 23 - Python community game jam</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Kenya 2025,2025-08-28 00:00,2025-08-31 00:00,"Nairobi, Kenya","<a href=""https://www.pycon.ke/"">PyCon Kenya 2025</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon ZA 2012,2012-10-04 00:00,2012-10-06 00:00,"Cape Town, South Africa","<a href=""http://za.pycon.org/"">PyCon ZA 2012</a>...",2025-06-02 01:40:23 UTC
Python Events,Python Brasil [12],2016-10-13 00:00,2016-10-19 00:00,"Florianópolis, Santa Catarina, Brazil","<a href=""http://2016.pythonbrasil.org.br/"">Python Brasil [12]</a>...",2025-06-02 01:40:23 UTC
Python Events,FOSDEM 2023 - Python Dev Room,2023-02-05 00:00,2023-02-06 00:00,"Brussels, Belgium","<body><a href=""https://fosdem.org/2023/schedule/track/python/"">FOSDEM 
2023 - Python Dev Room</a></body>...",2025-06-02 01:40:23 UTC
Python Events,PyConf Mini Davao 2024,2024-09-26 00:00,2024-09-27 00:00,"Davao City, Philippines","<a href=""https://pyconf-mini-2024.durianpy.org/"">PyConf Mini Davao 2024</a>...",2025-06-02 01:40:23 UTC
Python Events,QUERIDO AMIGO,2013-12-06 15:30,2013-12-06 16:30,N/A,"QUERIDO AMIGO

TENEMOS QUINCE MILLONES DE DÓLARES DE LOS ESTADOS UNIDOS solamente, que nos dieron de OVER
Inflados CONTRATOS DE CRUDO DESTINADOS A LOS CONTRATISTAS EXTRANJEROS EN LA
NACIONAL DEL PETRÓ...",2025-06-02 01:40:23 UTC
Python Events,FlaskCon 2023,2023-12-16 00:00,2023-12-18 00:00,Online,"<a href=""https://flaskcon.com/2023/"">FlaskCon 2023</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon SK 2020 (cancelled),2020-09-11 00:00,2020-09-14 00:00,"Bratislava, Slovakia","<a href=""https://2020.pycon.sk/en/"">PyCon SK 2020</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Pakistan 2024,2024-03-09 00:00,2024-03-11 00:00,"Lahore, Pakistan","<pre><a href=""https://pycon.pk/"">PyCon Pakistan 2024</a></pre>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Tanzania 2020,2020-12-14 00:00,2020-12-16 00:00,"Dar es Salaam, Tanzania","<a href=""http://pycon.or.tz/"">PyCon Tanzania</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Taiwan 2017,2017-06-06 00:00,2017-06-12 00:00,"Academia Sinica, 128 Academia Road, Section 2, Nankang, Taipei 11529, Taiwan","<a href=""https://tw.pycon.org/2017/en-us/"">PyCon Taiwan 2017</a>...",2025-06-02 01:40:23 UTC
Python Events,Plone Symposium Tokyo 2015,2015-06-13 00:00,2015-06-15 00:00,"Ochanomizu University, Tokyo, Japan","<a href=""http://plone.jp/plone-symposium-tokyo-2015"">Plone Symposium Tokyo 2015</a>...",2025-06-02 01:40:23 UTC
Python Events,EuroPython 2021,2021-07-26 00:00,2021-08-02 00:00,Online,"<a href=""https://www.europython.eu/"">EuroPython 2021</a>...",2025-06-02 01:40:23 UTC
Python Events,PyData Delhi 2018,2018-08-11 00:00,2018-08-13 00:00,"New Delhi, India","<a href=""https://pydata.org/delhi2018"">PyData Delhi 2018</a>...",2025-06-02 01:40:23 UTC
Python Events,PiterPy 2025,2025-05-16 00:00,2025-05-18 00:00,"St. Petersburg, Russia and Online","<a href=""https://piterpy.com/en/"">PiterPy 2025</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon US 2016,2016-05-28 00:00,2016-06-06 00:00,"Portland, Oregon, United States","<a href=""https://us.pycon.org/2016/"">PyCon US 2016</a>...",2025-06-02 01:40:23 UTC
Python Events,PyGrunn 2016,2016-05-13 00:00,2016-05-14 00:00,"Hereplein 73, 9711 GD Groningen, Netherlands","<a href=""http://www.pygrunn.org/"">PyGrunn 2016</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Russia 2014,2014-06-02 00:00,2014-06-04 00:00,"Yekaterinburg, Russia","<a href=""http://pycon.ru/2014/en/"">PyCon Russia 2014</a>...",2025-06-02 01:40:23 UTC
Python Events,PyConTW 2023,2023-09-02 00:00,2023-09-04 00:00,"Nankang, Taipei 115, Taiwan","<body><a href=""https://tw.pycon.org/2023/"">PyConTW 2023</a></body>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Namibia 2016,2016-01-25 00:00,2016-01-30 00:00,"University of Namibia, Windhoek, Namibia","<a href=""http://na.pycon.org/"">PyCon Namibia 2016</a>...",2025-06-02 01:40:23 UTC
Python Events,Rencontres Django 2017,2017-04-01 00:00,2017-04-03 00:00,"Toulon, France","<a href=""http://rencontres.django-fr.org/2017/"">Rencontres django</a>
...",2025-06-02 01:40:23 UTC
Python Events,PyCon Ireland,2013-10-12 00:00,2013-10-14 00:00,Dublin,http://python.ie/...,2025-06-02 01:40:23 UTC
Python Events,PyData Global 2023,2023-12-06 00:00,2023-12-09 00:00,Online,"<a href=""https://pydata.org/global2023/"">PyData Global 2023</a>...",2025-06-02 01:40:23 UTC
Python Events,PyConWeb 2020 (canceled),2020-05-09 00:00,2020-05-11 00:00,"Munich, Germany","<a href=""https://pyconweb.com"" id=""ow544"" __is_owner=""true"">PyConWeb 2020</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Finland 2012,2012-10-22 00:00,2012-10-24 00:00,"Otaniemi, Finland","<a href=""http://fi.pycon.org/2012/"">PyCon Finland 2012</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon MY 2014,2014-03-15 00:00,2014-03-16 00:00,"iTrain, Unit E-7-1, Block E, Megan Avenue 1, 189 Jalan Tun Razak, 50400 Kuala Lumpur ","<a href=""http://www.pycon.my/mini-pycon-my-2014"">PyCon MY 2014</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Colombia 2022,2022-07-09 00:00,2022-07-11 00:00,Online,"<a href=""https://2022.pycon.co/"">PyCon Colombia 2022</a>...",2025-06-02 01:40:23 UTC
Python Events,Swiss Python Summit 2023,2023-09-21 00:00,2023-09-22 00:00,"Rapperswil, Switzerland","<body><a href=""https://www.python-summit.ch/"">Swiss Python Summit 2023</a></body>...",2025-06-02 01:40:23 UTC
Python Events,PyCon ES Canarias 2023,2023-10-06 00:00,2023-10-09 00:00,"San Cristóbal de La Laguna, Santa Cruz de Tenerife, España","<body><a href=""https://2023.es.pycon.org/en/"">PyCon ES Canarias 2023</a></body>...",2025-06-02 01:40:23 UTC
Python Events,PyDay La Paz 2023,2023-06-10 00:00,2023-06-11 00:00,"Higher University of San Andrés (UMSA), J.J.Perez, La Paz, Bolivia","<a href=""https://pyday.pylapaz.org/"">PyDay La Paz 2023</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Wroclaw 2024,2024-11-30 00:00,2024-12-01 00:00,"Wroclaw, Poland","<a href=""http://www.pyconwroclaw.com/"">PyCon Wroclaw 2024</a>...",2025-06-02 01:40:23 UTC
Python Events, GeoPython 2021,2021-04-22 00:00,2021-04-24 00:00,N/A,"<a href=""http://2021.geopython.net/"" id=""ow717"" __is_owner=""true"">GeoPython 2021</a>...",2025-06-02 01:40:23 UTC
Python Events,Swiss Python Summit 2016,2016-02-05 00:00,2016-02-06 00:00,"HSR University of Applied Sciences, Rapperswil, Switzerland","<a href=""http://www.python-summit.ch/"">Swiss Python Summit 2016</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon UK 2025,2025-09-19 00:00,2025-09-23 00:00,"Manchester, United Kingdom","<pre><a href=""https://2025.pyconuk.org/"">PyCon UK 2025</a></pre>...",2025-06-02 01:40:23 UTC
Python Events,Python Unconference Hamburg 2014,2014-11-29 00:00,2014-12-01 00:00,"Geomatikum der Universität Hamburg, Bundesstraße 55, 20146 Hamburg, Germany","<a href=""http://www.pyunconf.de/"">Python Unconference Hamburg 2014</a>...",2025-06-02 01:40:23 UTC
Python Events,FrOSCon 2015,2015-08-22 00:00,2015-08-24 00:00,"Bonn-Rhein-Sieg University of Applied Science, Grantham-Allee 20, 53757 Sankt Augustin, Germany","<a href=""http://www.froscon.de/en/home/"">FrOSCon 2015</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Somalia 2024,2024-08-21 00:00,2024-08-23 00:00,"Mogadishu, Somalia","<a href=""http://pycon.org.so/"">PyCon Somalia 2024</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Colombia 2017,2017-02-10 00:00,2017-02-12 00:00,"Bogota, Colombia","<a href=""http://http://www.pycon.co//"">PyCon Colombia 2017</a>...",2025-06-02 01:40:23 UTC
Python Events,FOSDEM 2022: Python Dev Room,2022-02-06 00:00,2022-02-07 00:00,Online,"<a href=""https://fosdem.org/2022/schedule/track/python/"">FOSDEM 2022: Python Dev Room</a>...",2025-06-02 01:40:23 UTC
Python Events,SciPy 2020,2020-07-06 00:00,2020-07-13 00:00,Online,"<a href=""https://www.scipy2020.scipy.org/"">SciPy 2020</a>...",2025-06-02 01:40:23 UTC
Python Events,Python fwdays'20,2020-05-23 06:50,2020-05-23 14:30,Online,"<a href=""https://fwdays.com/en/event/python-fwdays-conference"" id=""ow756"" __is_owner=""true"">website</a><br><br>Using Kafka in your python applications<br>Python for Speed, Scale, and Science<br>Buildi...",2025-06-02 01:40:23 UTC
Python Events,EuroPython 2018,2018-07-23 00:00,2018-07-30 00:00,"Edinburgh, UK","<a href=""http://www.europython.eu/"">EuroPython 2018</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Belarus 2017,2017-02-04 00:00,2017-02-05 00:00,"Minsk, Belarus","<a href=""http://by.pycon.org/"">PyCon Belarus 2017</a>...",2025-06-02 01:40:23 UTC
Python Events,PyConChina 2015 - Hangzhou,2015-09-20 00:00,2015-09-21 00:00,"No. 587 Xin cheng road, Nokia Global Research Center, Hangzhou, China","<a href=""http://cn.pycon.org"">PyConChina 2015</a>...",2025-06-02 01:40:23 UTC
Python Events,AfroPython Conf 2025,2025-06-07 00:00,2025-06-08 00:00,"Salvador, State of Bahia, Brazil","<a href=""https://afropythonconf.org/"">AfroPython Conf 2025</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Amazônia 2017,2017-08-12 00:00,2017-08-14 00:00,"Manaus, Amazonas, Brazil","<a href=""http://amazonia.python.org.br/"">PyCon Amazônia</a>...",2025-06-02 01:40:23 UTC
Python Events,Python Brazil 2012,2012-11-21 00:00,2012-11-25 00:00,"Rio de Janeiro, Brazil","<a href=""http://2012.pythonbrasil.org.br/"">Python Brazil 2012</a>...",2025-06-02 01:40:23 UTC
Python Events, DjangoCon Europe 2021,2021-06-02 00:00,2021-06-07 00:00,Online event,"<a href=""https://2021.djangocon.eu/"" id=""ow1334"" __is_owner=""true"">https://2021.<wbr>djangocon.eu/</a>...",2025-06-02 01:40:23 UTC
Python Events,SciPy Japan 2019,2019-04-23 00:00,2019-04-25 00:00,"Tokyo, Japan","<a href=""https://www.scipyjapan2019.scipy.org/"">SciPy Japan 2019</a>...",2025-06-02 01:40:23 UTC
Python Events,DjangoCon US 2018,2018-10-14 00:00,2018-10-20 00:00,"San Diego, CA, USA","<span style=""color: rgb(0, 0, 0); font-family: -apple-system, BlinkMacSystemFont, sans-serif;""><a href=""https://2018.djangocon.us"">DjangoCon US 2018</a></span>...",2025-06-02 01:40:23 UTC
Python Events,DjangoCongress JP 2025,2025-02-22 00:00,2025-02-23 00:00,Online,"<a href=""https://djangocongress.jp/"">DjangoCongress JP 2025</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Ireland 2015,2015-10-24 00:00,2015-10-26 00:00,"Radisson Blu Royal Hotel Dublin, Golden Ln, Dublin 8","<a href=""http://python.ie/pycon-2015/"">PyCon Ireland 2015</a>...",2025-06-02 01:40:23 UTC
Python Events,PythonCamp 2018 - Cologne,2018-04-07 00:00,2018-04-09 00:00,"GFU Cyrus AG, Am Grauen Stein 27, 51105 Köln, Germany","<a href=""http://pythoncamp.de"">PythonCamp Cologne 2018</a>...",2025-06-02 01:40:23 UTC
Python Events,PyConES17,2017-09-22 00:00,2017-09-25 00:00,"Caceres, Spain","<a href=""https://2017.es.pycon.org/"">PyConES17</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon UK 2016,2016-09-15 00:00,2016-09-20 00:00,"Cardiff City Hall, Gorsedd Gardens Rd, Cardiff CF10 3ND, UK","<a href=""http://2016.pyconuk.org/"">PyCon UK 2016</a>...",2025-06-02 01:40:23 UTC
Python Events,PyWaw Summit 2015,2015-05-25 00:00,2015-05-27 00:00,"Warsaw, Poland","<a href=""http://summit.pywaw.org/"">PyWaw Summit 2015</a>...",2025-06-02 01:40:23 UTC
