calendar,name,start,end,location,description,fetched_at
User Group Events,Burkina Faso's Python Users Group (FasoPy)'s launch,2017-01-28 09:00,2017-01-28 17:00,"ISPP Siège, Ouagadougou, Burkina Faso","<a href=""https://www.facebook.com/events/350559822009442/"">Burkina Faso's Python Users Group (FasoPy)'s launch</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Meeting Düsseldorf,2023-03-22 17:00,2023-03-22 20:00,"Düsseldorf, Germany","<a href=""https://www.pyddf.de/"">Python Meeting Düsseldorf</a>...",2025-06-02 01:40:23 UTC
User Group Events,Karlsruhe Python User Group (KaPy),2014-11-21 19:00,2014-11-21 21:00,"Entropia e.V., Gewerbehof, Steinstraße 23, 76133 Karlsruhe, Germany","<a href=""https://lists.bl0rg.net/cgi-bin/mailman/listinfo/kapy"">Karlsruhe Python User Group (KaPy)</a>...",2025-06-02 01:40:23 UTC
User Group Events,Django Girls Ecuador 2024,2024-10-05 14:00,2024-10-05 22:30,"Quito, Ecuador","<a href=""https://openlab.ec/djangogirls"">Django Girls Ecuador 2024</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Meeting Düsseldorf,2020-01-22 17:00,2020-01-22 19:00,"Düsseldorf, Germany","<a href=""https://www.egenix.com/company/news/Python-Meeting-Duesseldorf-2020-01-22"">Python Meeting Düsseldorf</a>...",2025-06-02 01:40:23 UTC
User Group Events,Django Girls Kwahu,2018-09-14 00:00,2018-09-16 00:00,"Kwahu, Ghana","<a href=""http://djangogirls.org/kwahu"">Django Girls Kwahu</a>...",2025-06-02 01:40:23 UTC
User Group Events,"Python New Zealand, Online Group, Presentation and Code-along-at-home",2024-08-28 06:30,2024-08-28 08:30,Online,"<a href=""https://www.meetup.com/pythonnz-online/events/302440285"">Python New Zealand, Online Group, Presentation and Code-along-at-home</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python User Group Nürnberg,2014-12-11 18:00,2014-12-11 20:00,"Maxfeldstraße 5, Nürnberg, Germany","<a href=""
http://www.meetup.com/Python-User-Group-Nurnberg/events/218757012/"">Let's
meetup and talk about python</a>...",2025-06-02 01:40:23 UTC
User Group Events,The long white computing cloud - NZPUG-Auckland,2023-03-15 05:00,2023-03-15 07:30,online,"<a href=""https://www.meetup.com/nzpug-auckland/events/291789444/"">The long white computing cloud</a>...",2025-06-02 01:40:23 UTC
User Group Events,Django Girls Ica,2016-04-02 00:00,2016-04-03 00:00,"Ica, Peru","<a href=""http://argentinaenpython.com.ar/django-girls-ica/"">Django Girls Ica</a>...",2025-06-02 01:40:23 UTC
User Group Events,STL Python,2015-05-05 19:00,2015-05-05 21:00,"911 Washington Ave, Saint Louis, MO, USA","<a href=""http://www.meetup.com/STL-Python/"">STL Python</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Meeting Düsseldorf,2019-01-09 17:00,2019-01-09 19:00,"Bürgerhaus Stadtteilzentrum Bilk,Düsseldorfer Arcaden, Bachstr. 145, 40217 Düsseldorf, Germany",https://www.egenix.com/company/news/Python-Meeting-Duesseldorf-2019-01-09...,2025-06-02 01:40:23 UTC
User Group Events,Machine Learning Indaba X -Zambia,2018-03-24 00:00,2018-03-25 00:00,"Lusaka, Zambia","<a href=""http://deeplearningindabaxzambia.azurewebsites.net/"">Machine Learning Indaba X -Zambia</a>...",2025-06-02 01:40:23 UTC
User Group Events,PYME 2,2020-02-07 00:00,2020-02-09 00:00,"London, UK","<a href=""http://ymeglobal.org/index.php/pyme2"" id=""ow1053"" __is_owner=""true"">PYME 2</a>...",2025-06-02 01:40:23 UTC
User Group Events,Django Girls Trento,2017-09-23 00:00,2017-09-24 00:00,"Province of Trento, Italy","<a href=""https://djangogirls.org/trento/"">Django Girls Trento</a>...",2025-06-02 01:40:23 UTC
User Group Events,The Thinking in Python Developer Retreat,2017-08-17 00:00,2017-08-21 00:00,"Crested Butte, Colorado, USA","<a href=""http://mindviewinc.com/ThinkingInPythonDeveloperRetreat.html"">The Thinking in Python Developer Retreat</a>...",2025-06-02 01:40:23 UTC
User Group Events,Django Girls Malabo,2022-05-21 00:00,2022-05-22 00:00,"Malabo, Equatorial Guinea","<a href=""https://djangogirls.org/en/malabo/"">Django Girls Malabo</a>...",2025-06-02 01:40:23 UTC
User Group Events,Pyladies Amsterdam - Bringing ML Models into Production Bootcamp - Lesson 2,2021-07-07 16:30,2021-07-07 18:00,Online,https://www.meetup.com/PyLadiesAMS/events/278241087/...,2025-06-02 01:40:23 UTC
User Group Events,TOUFU - Parent-Child Python Programming Workshop,2024-04-28 00:00,2024-04-29 00:00,"Ichikawa City, Chiba Prefecture, Japan","<a href=""https://ohtoufu.com/education/register/ichikawa/2024-04/"">TOUFU - Parent-Child Python Programming Workshop</a>...",2025-06-02 01:40:23 UTC
User Group Events,PyLadies Amsterdam: Introduction to BDD in Python,2025-03-31 16:00,2025-03-31 18:15,Online,"<a href=""https://www.meetup.com/pyladiesams/events/306653842/"">PyLadies Amsterdam: Introduction to BDD in Python</a>...",2025-06-02 01:40:23 UTC
User Group Events,Smart Iterator Challenge (week 3),2022-10-22 00:00,2022-10-31 00:00,"Online, New Zealand","<body><a href=""https://www.meetup.com/nzpug-auckland/events/288813734/"">Smart
 Iterator Challenge-week 3, New Zealand Python User Group - Auckland</a></body>...",2025-06-02 01:40:23 UTC
User Group Events,PyRana General Body Meeting - January 2020,2020-01-07 17:00,2020-01-07 19:30,"Tirana, Albania","<a href=""https://www.pyrana.org/events/"">General Body Meeting</a>...",2025-06-02 01:40:23 UTC
User Group Events,October Oslo Python meetup,2024-10-24 15:00,2024-10-24 19:00,"Oslo, Norway","<a href=""https://www.meetup.com/oslo-python/events/303701430"">October Oslo Python meetup</a>...",2025-06-02 01:40:23 UTC
User Group Events,An Introduction to Pyro,2023-05-30 16:00,2023-05-30 18:00,"Objective Platform, Kabelweg 57, 1014 BA Amsterdam, Netherlands","<a href=""https://www.meetup.com/pyladiesams/events/293422681/"">An Introduction to Pyro</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Meetup Ljubljana,2017-11-16 18:00,2017-11-16 20:00,"Ljubljana, Slovenia","<a href=""https://www.meetup.com/Ljubljana-Python-Group/events/244975313/"">Python Meetup Ljubljana</a>...",2025-06-02 01:40:23 UTC
